Index,Text,Time,Year
133,"Railway track electrification :

2006-14        4,698 Km
2014-23        37,446 Km

9 times more tracks got electrified in the last 9 years Indian  Railways uses 90% less diesel than it used in 2014.","Jul 12, 2023",2023
134," Indian  Railways is Expected to Launch 4 More Vande Bharat Express Trains this Month

• Chennai - Tirunelveli (622 KM)
• Delhi - Chandigarh (243 KM)
• Gwalior - Bhopal (432 KM)
• Lucknow - Prayagraj (200 KM)","Jun 3, 2023",2023
135,"Railway Minister Sri Ashwini Vaishnav is one of the most competent Minister India has ever had & will definitely resolve all issues in Indian  Railways .

I support his continuation in the ministry, request to analyse root cause & bring the best of railways .","Jul 14, 2023",2023
136,"To pretend that have modernised the Indian  Railways , we imitate the Western systems but don’t have the workmanship, commitment to quality and ability to maintain those systems in good working order.
The electrically operated  window blinds of Tajas I am travelling in, don’t work.","Jun 16, 2023",2023
137,"Unreliable sources tell me that those who travel by Vande Bharat Express, an umbrella will be provided free of charge by the India Railways .","Jun 3, 2023",2023
138,"Such a tragedy #CoromandalExpress One of the biggest and worst accident in Indian  railways history 
I would never travel in a train or allow anyone in my family to take a train after such an incident 
Who is responsible for it ?
Never ever I have seen anyone being held","Jun 30, 2023",2023
139,"Off late, You have seen Leftists Toolkits targeting Railways quite often

Criticising Sleeper Class Coaches, Mocking Vade Bharat Trains, Recent Accident & Railway Minister

Reasons

Modi has changed the way Indian  Railways worked ever

1. New Swanky Airport like Railway Stations","Jul 8, 2023",2023
140,"Premium routes on Indian  Railways  Rajdhani Express - Started 50 years ago but runs on only 16 routes Shatabdi Express - Started 35 years ago but runs on only 19 routes Vande Bharat Express - 25 routes in just 4 years

The day is not far when Vande Bharat will connect","Aug 2, 2023",2023
141,"Railway track electrification :

2006-14        4,698 Km
2014-23        37,446 Km

9 times more tracks got electrified in the last 9 years Indian  Railways uses 90% less diesel than it used in 2014.","Jul 12, 2023",2023
142," Indian  Railways is Expected to Launch 4 More Vande Bharat Express Trains this Month

• Chennai - Tirunelveli (622 KM)
• Delhi - Chandigarh (243 KM)
• Gwalior - Bhopal (432 KM)
• Lucknow - Prayagraj (200 KM)","Jun 3, 2023",2023
143,"Railway Minister Sri Ashwini Vaishnav is one of the most competent Minister India has ever had & will definitely resolve all issues in Indian  Railways .

I support his continuation in the ministry, request to analyse root cause & bring the best of railways .","Jul 14, 2023",2023
144,"To pretend that have modernised the Indian  Railways , we imitate the Western systems but don’t have the workmanship, commitment to quality and ability to maintain those systems in good working order.
The electrically operated  window blinds of Tajas I am travelling in, don’t work.","Jun 16, 2023",2023
145,"Unreliable sources tell me that those who travel by Vande Bharat Express, an umbrella will be provided free of charge by the India Railways .","Jun 3, 2023",2023
146,"Such a tragedy #CoromandalExpress One of the biggest and worst accident in Indian  railways history 
I would never travel in a train or allow anyone in my family to take a train after such an incident 
Who is responsible for it ?
Never ever I have seen anyone being held","Jun 30, 2023",2023
147,"Off late, You have seen Leftists Toolkits targeting Railways quite often

Criticising Sleeper Class Coaches, Mocking Vade Bharat Trains, Recent Accident & Railway Minister

Reasons

Modi has changed the way Indian  Railways worked ever

1. New Swanky Airport like Railway Stations","Jul 8, 2023",2023
148,"Premium routes on Indian  Railways  Rajdhani Express - Started 50 years ago but runs on only 16 routes Shatabdi Express - Started 35 years ago but runs on only 19 routes Vande Bharat Express - 25 routes in just 4 years

The day is not far when Vande Bharat will connect","Aug 2, 2023",2023
149,"Railway track electrification :

2006-14        4,698 Km
2014-23        37,446 Km

9 times more tracks got electrified in the last 9 years Indian  Railways uses 90% less diesel than it used in 2014.","Jul 12, 2023",2023
150," Indian  Railways is Expected to Launch 4 More Vande Bharat Express Trains this Month

• Chennai - Tirunelveli (622 KM)
• Delhi - Chandigarh (243 KM)
• Gwalior - Bhopal (432 KM)
• Lucknow - Prayagraj (200 KM)","Jun 3, 2023",2023
151,"Railway Minister Sri Ashwini Vaishnav is one of the most competent Minister India has ever had & will definitely resolve all issues in Indian  Railways .

I support his continuation in the ministry, request to analyse root cause & bring the best of railways .","Jul 14, 2023",2023
152,"To pretend that have modernised the Indian  Railways , we imitate the Western systems but don’t have the workmanship, commitment to quality and ability to maintain those systems in good working order.
The electrically operated  window blinds of Tajas I am travelling in, don’t work.","Jun 16, 2023",2023
153,"Unreliable sources tell me that those who travel by Vande Bharat Express, an umbrella will be provided free of charge by the India Railways .","Jun 3, 2023",2023
154,"Such a tragedy #CoromandalExpress One of the biggest and worst accident in Indian  railways history 
I would never travel in a train or allow anyone in my family to take a train after such an incident 
Who is responsible for it ?
Never ever I have seen anyone being held","Jun 30, 2023",2023
155,"Off late, You have seen Leftists Toolkits targeting Railways quite often

Criticising Sleeper Class Coaches, Mocking Vade Bharat Trains, Recent Accident & Railway Minister

Reasons

Modi has changed the way Indian  Railways worked ever

1. New Swanky Airport like Railway Stations","Jul 8, 2023",2023
156,"Premium routes on Indian  Railways  Rajdhani Express - Started 50 years ago but runs on only 16 routes Shatabdi Express - Started 35 years ago but runs on only 19 routes Vande Bharat Express - 25 routes in just 4 years

The day is not far when Vande Bharat will connect","Aug 2, 2023",2023
157,"Railway track electrification :

2006-14        4,698 Km
2014-23        37,446 Km

9 times more tracks got electrified in the last 9 years Indian  Railways uses 90% less diesel than it used in 2014.","Jul 12, 2023",2023
158," Indian  Railways is Expected to Launch 4 More Vande Bharat Express Trains this Month

• Chennai - Tirunelveli (622 KM)
• Delhi - Chandigarh (243 KM)
• Gwalior - Bhopal (432 KM)
• Lucknow - Prayagraj (200 KM)","Jun 3, 2023",2023
159,"Railway Minister Sri Ashwini Vaishnav is one of the most competent Minister India has ever had & will definitely resolve all issues in Indian  Railways .

I support his continuation in the ministry, request to analyse root cause & bring the best of railways .","Jul 14, 2023",2023
160,"To pretend that have modernised the Indian  Railways , we imitate the Western systems but don’t have the workmanship, commitment to quality and ability to maintain those systems in good working order.
The electrically operated  window blinds of Tajas I am travelling in, don’t work.","Jun 16, 2023",2023
161,"Unreliable sources tell me that those who travel by Vande Bharat Express, an umbrella will be provided free of charge by the India Railways .","Jun 3, 2023",2023
162,"Such a tragedy #CoromandalExpress One of the biggest and worst accident in Indian  railways history 
I would never travel in a train or allow anyone in my family to take a train after such an incident 
Who is responsible for it ?
Never ever I have seen anyone being held","Jun 30, 2023",2023
163,"Off late, You have seen Leftists Toolkits targeting Railways quite often

Criticising Sleeper Class Coaches, Mocking Vade Bharat Trains, Recent Accident & Railway Minister

Reasons

Modi has changed the way Indian  Railways worked ever

1. New Swanky Airport like Railway Stations","Jul 8, 2023",2023
164,"Premium routes on Indian  Railways  Rajdhani Express - Started 50 years ago but runs on only 16 routes Shatabdi Express - Started 35 years ago but runs on only 19 routes Vande Bharat Express - 25 routes in just 4 years

The day is not far when Vande Bharat will connect","Aug 2, 2023",2023
165,"Railway track electrification :

2006-14        4,698 Km
2014-23        37,446 Km

9 times more tracks got electrified in the last 9 years Indian  Railways uses 90% less diesel than it used in 2014.","Jul 12, 2023",2023
166," Indian  Railways is Expected to Launch 4 More Vande Bharat Express Trains this Month

• Chennai - Tirunelveli (622 KM)
• Delhi - Chandigarh (243 KM)
• Gwalior - Bhopal (432 KM)
• Lucknow - Prayagraj (200 KM)","Jun 3, 2023",2023
167,"Railway Minister Sri Ashwini Vaishnav is one of the most competent Minister India has ever had & will definitely resolve all issues in Indian  Railways .

I support his continuation in the ministry, request to analyse root cause & bring the best of railways .","Jul 14, 2023",2023
168,"To pretend that have modernised the Indian  Railways , we imitate the Western systems but don’t have the workmanship, commitment to quality and ability to maintain those systems in good working order.
The electrically operated  window blinds of Tajas I am travelling in, don’t work.","Jun 16, 2023",2023
169,"Unreliable sources tell me that those who travel by Vande Bharat Express, an umbrella will be provided free of charge by the India Railways .","Jun 3, 2023",2023
170,"Such a tragedy #CoromandalExpress One of the biggest and worst accident in Indian  railways history 
I would never travel in a train or allow anyone in my family to take a train after such an incident 
Who is responsible for it ?
Never ever I have seen anyone being held","Jun 30, 2023",2023
171,"Off late, You have seen Leftists Toolkits targeting Railways quite often

Criticising Sleeper Class Coaches, Mocking Vade Bharat Trains, Recent Accident & Railway Minister

Reasons

Modi has changed the way Indian  Railways worked ever

1. New Swanky Airport like Railway Stations","Jul 8, 2023",2023
172,"Premium routes on Indian  Railways  Rajdhani Express - Started 50 years ago but runs on only 16 routes Shatabdi Express - Started 35 years ago but runs on only 19 routes Vande Bharat Express - 25 routes in just 4 years

The day is not far when Vande Bharat will connect","Aug 2, 2023",2023
173,"Railway track electrification :

2006-14        4,698 Km
2014-23        37,446 Km

9 times more tracks got electrified in the last 9 years Indian  Railways uses 90% less diesel than it used in 2014.","Jul 12, 2023",2023
174," Indian  Railways is Expected to Launch 4 More Vande Bharat Express Trains this Month

• Chennai - Tirunelveli (622 KM)
• Delhi - Chandigarh (243 KM)
• Gwalior - Bhopal (432 KM)
• Lucknow - Prayagraj (200 KM)","Jun 3, 2023",2023
175,"Railway Minister Sri Ashwini Vaishnav is one of the most competent Minister India has ever had & will definitely resolve all issues in Indian  Railways .

I support his continuation in the ministry, request to analyse root cause & bring the best of railways .","Jul 14, 2023",2023
176,"To pretend that have modernised the Indian  Railways , we imitate the Western systems but don’t have the workmanship, commitment to quality and ability to maintain those systems in good working order.
The electrically operated  window blinds of Tajas I am travelling in, don’t work.","Jun 16, 2023",2023
177,"Unreliable sources tell me that those who travel by Vande Bharat Express, an umbrella will be provided free of charge by the India Railways .","Jun 3, 2023",2023
178,"Such a tragedy #CoromandalExpress One of the biggest and worst accident in Indian  railways history 
I would never travel in a train or allow anyone in my family to take a train after such an incident 
Who is responsible for it ?
Never ever I have seen anyone being held","Jun 30, 2023",2023
179,"Off late, You have seen Leftists Toolkits targeting Railways quite often

Criticising Sleeper Class Coaches, Mocking Vade Bharat Trains, Recent Accident & Railway Minister

Reasons

Modi has changed the way Indian  Railways worked ever

1. New Swanky Airport like Railway Stations","Jul 8, 2023",2023
180,"Premium routes on Indian  Railways  Rajdhani Express - Started 50 years ago but runs on only 16 routes Shatabdi Express - Started 35 years ago but runs on only 19 routes Vande Bharat Express - 25 routes in just 4 years

The day is not far when Vande Bharat will connect","Aug 2, 2023",2023
181,"Railway track electrification :

2006-14        4,698 Km
2014-23        37,446 Km

9 times more tracks got electrified in the last 9 years Indian  Railways uses 90% less diesel than it used in 2014.","Jul 12, 2023",2023
182," Indian  Railways is Expected to Launch 4 More Vande Bharat Express Trains this Month

• Chennai - Tirunelveli (622 KM)
• Delhi - Chandigarh (243 KM)
• Gwalior - Bhopal (432 KM)
• Lucknow - Prayagraj (200 KM)","Jun 3, 2023",2023
183,"Railway Minister Sri Ashwini Vaishnav is one of the most competent Minister India has ever had & will definitely resolve all issues in Indian  Railways .

I support his continuation in the ministry, request to analyse root cause & bring the best of railways .","Jul 14, 2023",2023
184,"To pretend that have modernised the Indian  Railways , we imitate the Western systems but don’t have the workmanship, commitment to quality and ability to maintain those systems in good working order.
The electrically operated  window blinds of Tajas I am travelling in, don’t work.","Jun 16, 2023",2023
185,"Unreliable sources tell me that those who travel by Vande Bharat Express, an umbrella will be provided free of charge by the India Railways .","Jun 3, 2023",2023
186,"Such a tragedy #CoromandalExpress One of the biggest and worst accident in Indian  railways history 
I would never travel in a train or allow anyone in my family to take a train after such an incident 
Who is responsible for it ?
Never ever I have seen anyone being held","Jun 30, 2023",2023
187,"Off late, You have seen Leftists Toolkits targeting Railways quite often

Criticising Sleeper Class Coaches, Mocking Vade Bharat Trains, Recent Accident & Railway Minister

Reasons

Modi has changed the way Indian  Railways worked ever

1. New Swanky Airport like Railway Stations","Jul 8, 2023",2023
188,"Premium routes on Indian  Railways  Rajdhani Express - Started 50 years ago but runs on only 16 routes Shatabdi Express - Started 35 years ago but runs on only 19 routes Vande Bharat Express - 25 routes in just 4 years

The day is not far when Vande Bharat will connect","Aug 2, 2023",2023
189,"Railway track electrification :

2006-14        4,698 Km
2014-23        37,446 Km

9 times more tracks got electrified in the last 9 years Indian  Railways uses 90% less diesel than it used in 2014.","Jul 12, 2023",2023
190," Indian  Railways is Expected to Launch 4 More Vande Bharat Express Trains this Month

• Chennai - Tirunelveli (622 KM)
• Delhi - Chandigarh (243 KM)
• Gwalior - Bhopal (432 KM)
• Lucknow - Prayagraj (200 KM)","Jun 3, 2023",2023
191,"Railway Minister Sri Ashwini Vaishnav is one of the most competent Minister India has ever had & will definitely resolve all issues in Indian  Railways .

I support his continuation in the ministry, request to analyse root cause & bring the best of railways .","Jul 14, 2023",2023
192,"To pretend that have modernised the Indian  Railways , we imitate the Western systems but don’t have the workmanship, commitment to quality and ability to maintain those systems in good working order.
The electrically operated  window blinds of Tajas I am travelling in, don’t work.","Jun 16, 2023",2023
193,"Unreliable sources tell me that those who travel by Vande Bharat Express, an umbrella will be provided free of charge by the India Railways .","Jun 3, 2023",2023
194,"Such a tragedy #CoromandalExpress One of the biggest and worst accident in Indian  railways history 
I would never travel in a train or allow anyone in my family to take a train after such an incident 
Who is responsible for it ?
Never ever I have seen anyone being held","Jun 30, 2023",2023
195,"Off late, You have seen Leftists Toolkits targeting Railways quite often

Criticising Sleeper Class Coaches, Mocking Vade Bharat Trains, Recent Accident & Railway Minister

Reasons

Modi has changed the way Indian  Railways worked ever

1. New Swanky Airport like Railway Stations","Jul 8, 2023",2023
196,"Premium routes on Indian  Railways  Rajdhani Express - Started 50 years ago but runs on only 16 routes Shatabdi Express - Started 35 years ago but runs on only 19 routes Vande Bharat Express - 25 routes in just 4 years

The day is not far when Vande Bharat will connect","Aug 2, 2023",2023
197,"Railway track electrification :

2006-14        4,698 Km
2014-23        37,446 Km

9 times more tracks got electrified in the last 9 years Indian  Railways uses 90% less diesel than it used in 2014.","Jul 12, 2023",2023
198," Indian  Railways is Expected to Launch 4 More Vande Bharat Express Trains this Month

• Chennai - Tirunelveli (622 KM)
• Delhi - Chandigarh (243 KM)
• Gwalior - Bhopal (432 KM)
• Lucknow - Prayagraj (200 KM)","Jun 3, 2023",2023
199,"Railway Minister Sri Ashwini Vaishnav is one of the most competent Minister India has ever had & will definitely resolve all issues in Indian  Railways .

I support his continuation in the ministry, request to analyse root cause & bring the best of railways .","Jul 14, 2023",2023
200,"To pretend that have modernised the Indian  Railways , we imitate the Western systems but don’t have the workmanship, commitment to quality and ability to maintain those systems in good working order.
The electrically operated  window blinds of Tajas I am travelling in, don’t work.","Jun 16, 2023",2023
