span1,span2,span3,span4,span5,span6,span7,span8
Fundamental Investor ™,Fundamental Investor ™,,@FI_InvestIndia,·,"I prefer traveling by Train across India (mainly no hurry or commitment). In the last few years, found",Indian,
The Indian Index,The Indian Index,,@Indian_Index,·,Railways,Ministry is preparing a Detailed Project Report for the following 7 High-Speed Rail corridors:,"1. Delhi – Varanasi (813 km)
2. Delhi – Ahmedabad (878 Km)
3. Mumbai – Nagpur (765 Km)
4. Mumbai – Hyderabad (671 Km)
5. Chennai – Bengaluru - Mysore (435 Km Approx.)
6."
Darshit Patel,Darshit Patel,,@darshitpatel84,·,"Biggest  competitor of Indigo Airlines is not Air India.

Its Vande bharat + Tejas Express+ Shatabdi + Rajdhani + Duronto.

Basically Its",Indian,
Mizu_Ren,Mizu_Ren,,@Mira_Ishhu,·,Though,#IndianRailways,
SUHEL SETH,SUHEL SETH,,@Suhelseth,·,I love train journeys. I love platform food; I love the odour and I admire the staff of the,Railways,. Rajdhani and Shatabdi are outstanding: the food on
Ananth Rupanagudi,Ananth Rupanagudi,,@Ananth_IRAS,·,"Had to school a parent to instruct his kid not to climb on a berth wearing his shoes. More often, the quality of upbringing gets reflected during the train journeys.",#IndianRailways,28
InfraStory,InfraStory,,@marinebharat,·,Things wrong with,Indian,Infra
Arun,Arun,,@indtravelphoto,·,Why does one need to go up a few stairs to get on an,Indian,
Ravi,Ravi,,@someonenewme2,·,"Chennai to Hyderabad 3rd AC lo book cheskunna, naa seat naaku vuntundantara mastaru!?",#IndianRailways,30
InfraStory,InfraStory,,@marinebharat,·,Indian,,Railway
Indian Tech & Infra,Indian Tech & Infra,,@IndianTechGuide,·,,Indian,
Indian Tech & Infra,Indian Tech & Infra,,@IndianTechGuide,·,,Indian,
Ananth Rupanagudi,Ananth Rupanagudi,,@Ananth_IRAS,·,The wishes of the Bengaluru techies has been fulfilled - the new Mysuru Vande Bharat to Chennai shall stop at Krishnarajapuram. It will take only 3 hours 45 minutes from Chennai to K.R.Puram.,#IndianRailways,
Sameer,Sameer,,@BesuraTaansane,·,The recent videos of,Indian,
CA Devang Maheshwari,CA Devang Maheshwari,,@equialpha,·,13 Major sector and beneficiaries of BJP Manifesto,"1) Affordable housing (AH) -
-HUDCO
-Tata Steel, JSW Steel
-Ultratech
-Ambuja
-Housing finance NBFC's

2) Tourism
-",
Indian Tech & Infra,Indian Tech & Infra,,@IndianTechGuide,·,,Indian,
Mehul Fanawala,Mehul Fanawala,,@MehulFanawala,·,I had no idea,Indian,
Silly Point,Silly Point,,@FarziCricketer,·,Indian,,railway
Fundamental Investor ™,Fundamental Investor ™,,@FI_InvestIndia,·,"I prefer traveling by Train across India (mainly no hurry or commitment). In the last few years, found",Indian,
The Indian Index,The Indian Index,,@Indian_Index,·,Railways,Ministry is preparing a Detailed Project Report for the following 7 High-Speed Rail corridors:,"1. Delhi – Varanasi (813 km)
2. Delhi – Ahmedabad (878 Km)
3. Mumbai – Nagpur (765 Km)
4. Mumbai – Hyderabad (671 Km)
5. Chennai – Bengaluru - Mysore (435 Km Approx.)
6."
Darshit Patel,Darshit Patel,,@darshitpatel84,·,"Biggest  competitor of Indigo Airlines is not Air India.

Its Vande bharat + Tejas Express+ Shatabdi + Rajdhani + Duronto.

Basically Its",Indian,
Mizu_Ren,Mizu_Ren,,@Mira_Ishhu,·,Though,#IndianRailways,
SUHEL SETH,SUHEL SETH,,@Suhelseth,·,I love train journeys. I love platform food; I love the odour and I admire the staff of the,Railways,. Rajdhani and Shatabdi are outstanding: the food on
Ananth Rupanagudi,Ananth Rupanagudi,,@Ananth_IRAS,·,"Had to school a parent to instruct his kid not to climb on a berth wearing his shoes. More often, the quality of upbringing gets reflected during the train journeys.",#IndianRailways,28
InfraStory,InfraStory,,@marinebharat,·,Things wrong with,Indian,Infra
Arun,Arun,,@indtravelphoto,·,Why does one need to go up a few stairs to get on an,Indian,
Ravi,Ravi,,@someonenewme2,·,"Chennai to Hyderabad 3rd AC lo book cheskunna, naa seat naaku vuntundantara mastaru!?",#IndianRailways,30
InfraStory,InfraStory,,@marinebharat,·,Indian,,Railway
Indian Tech & Infra,Indian Tech & Infra,,@IndianTechGuide,·,,Indian,
Indian Tech & Infra,Indian Tech & Infra,,@IndianTechGuide,·,,Indian,
Ananth Rupanagudi,Ananth Rupanagudi,,@Ananth_IRAS,·,The wishes of the Bengaluru techies has been fulfilled - the new Mysuru Vande Bharat to Chennai shall stop at Krishnarajapuram. It will take only 3 hours 45 minutes from Chennai to K.R.Puram.,#IndianRailways,
Sameer,Sameer,,@BesuraTaansane,·,The recent videos of,Indian,
CA Devang Maheshwari,CA Devang Maheshwari,,@equialpha,·,13 Major sector and beneficiaries of BJP Manifesto,"1) Affordable housing (AH) -
-HUDCO
-Tata Steel, JSW Steel
-Ultratech
-Ambuja
-Housing finance NBFC's

2) Tourism
-",
Indian Tech & Infra,Indian Tech & Infra,,@IndianTechGuide,·,,Indian,
Mehul Fanawala,Mehul Fanawala,,@MehulFanawala,·,I had no idea,Indian,
Silly Point,Silly Point,,@FarziCricketer,·,Indian,,railway
Fundamental Investor ™,Fundamental Investor ™,,@FI_InvestIndia,·,"I prefer traveling by Train across India (mainly no hurry or commitment). In the last few years, found",Indian,
The Indian Index,The Indian Index,,@Indian_Index,·,Railways,Ministry is preparing a Detailed Project Report for the following 7 High-Speed Rail corridors:,"1. Delhi – Varanasi (813 km)
2. Delhi – Ahmedabad (878 Km)
3. Mumbai – Nagpur (765 Km)
4. Mumbai – Hyderabad (671 Km)
5. Chennai – Bengaluru - Mysore (435 Km Approx.)
6."
Darshit Patel,Darshit Patel,,@darshitpatel84,·,"Biggest  competitor of Indigo Airlines is not Air India.

Its Vande bharat + Tejas Express+ Shatabdi + Rajdhani + Duronto.

Basically Its",Indian,
Mizu_Ren,Mizu_Ren,,@Mira_Ishhu,·,Though,#IndianRailways,
SUHEL SETH,SUHEL SETH,,@Suhelseth,·,I love train journeys. I love platform food; I love the odour and I admire the staff of the,Railways,. Rajdhani and Shatabdi are outstanding: the food on
Ananth Rupanagudi,Ananth Rupanagudi,,@Ananth_IRAS,·,"Had to school a parent to instruct his kid not to climb on a berth wearing his shoes. More often, the quality of upbringing gets reflected during the train journeys.",#IndianRailways,28
InfraStory,InfraStory,,@marinebharat,·,Things wrong with,Indian,Infra
Arun,Arun,,@indtravelphoto,·,Why does one need to go up a few stairs to get on an,Indian,
Ravi,Ravi,,@someonenewme2,·,"Chennai to Hyderabad 3rd AC lo book cheskunna, naa seat naaku vuntundantara mastaru!?",#IndianRailways,30
InfraStory,InfraStory,,@marinebharat,·,Indian,,Railway
Indian Tech & Infra,Indian Tech & Infra,,@IndianTechGuide,·,,Indian,
Indian Tech & Infra,Indian Tech & Infra,,@IndianTechGuide,·,,Indian,
Ananth Rupanagudi,Ananth Rupanagudi,,@Ananth_IRAS,·,The wishes of the Bengaluru techies has been fulfilled - the new Mysuru Vande Bharat to Chennai shall stop at Krishnarajapuram. It will take only 3 hours 45 minutes from Chennai to K.R.Puram.,#IndianRailways,
Sameer,Sameer,,@BesuraTaansane,·,The recent videos of,Indian,
CA Devang Maheshwari,CA Devang Maheshwari,,@equialpha,·,13 Major sector and beneficiaries of BJP Manifesto,"1) Affordable housing (AH) -
-HUDCO
-Tata Steel, JSW Steel
-Ultratech
-Ambuja
-Housing finance NBFC's

2) Tourism
-",
Indian Tech & Infra,Indian Tech & Infra,,@IndianTechGuide,·,,Indian,
Mehul Fanawala,Mehul Fanawala,,@MehulFanawala,·,I had no idea,Indian,
Silly Point,Silly Point,,@FarziCricketer,·,Indian,,railway
Fundamental Investor ™,Fundamental Investor ™,,@FI_InvestIndia,·,"I prefer traveling by Train across India (mainly no hurry or commitment). In the last few years, found",Indian,
The Indian Index,The Indian Index,,@Indian_Index,·,Railways,Ministry is preparing a Detailed Project Report for the following 7 High-Speed Rail corridors:,"1. Delhi – Varanasi (813 km)
2. Delhi – Ahmedabad (878 Km)
3. Mumbai – Nagpur (765 Km)
4. Mumbai – Hyderabad (671 Km)
5. Chennai – Bengaluru - Mysore (435 Km Approx.)
6."
Darshit Patel,Darshit Patel,,@darshitpatel84,·,"Biggest  competitor of Indigo Airlines is not Air India.

Its Vande bharat + Tejas Express+ Shatabdi + Rajdhani + Duronto.

Basically Its",Indian,
Mizu_Ren,Mizu_Ren,,@Mira_Ishhu,·,Though,#IndianRailways,
SUHEL SETH,SUHEL SETH,,@Suhelseth,·,I love train journeys. I love platform food; I love the odour and I admire the staff of the,Railways,. Rajdhani and Shatabdi are outstanding: the food on
InfraStory,InfraStory,,@marinebharat,·,Things wrong with,Indian,Infra
InfraStory,InfraStory,,@marinebharat,·,Things wrong with,Indian,Infra
InfraStory,InfraStory,,@marinebharat,·,Things wrong with,Indian,Infra
Arun,Arun,,@indtravelphoto,·,Why does one need to go up a few stairs to get on an,Indian,
Arun,Arun,,@indtravelphoto,·,Why does one need to go up a few stairs to get on an,Indian,
Arun,Arun,,@indtravelphoto,·,Why does one need to go up a few stairs to get on an,Indian,
Ravi,Ravi,,@someonenewme2,·,"Chennai to Hyderabad 3rd AC lo book cheskunna, naa seat naaku vuntundantara mastaru!?",#IndianRailways,30
Ravi,Ravi,,@someonenewme2,·,"Chennai to Hyderabad 3rd AC lo book cheskunna, naa seat naaku vuntundantara mastaru!?",#IndianRailways,30
Ravi,Ravi,,@someonenewme2,·,"Chennai to Hyderabad 3rd AC lo book cheskunna, naa seat naaku vuntundantara mastaru!?",#IndianRailways,30
InfraStory,InfraStory,,@marinebharat,·,Indian,,Railway
InfraStory,InfraStory,,@marinebharat,·,Indian,,Railway
InfraStory,InfraStory,,@marinebharat,·,Indian,,Railway
Indian Tech & Infra,Indian Tech & Infra,,@IndianTechGuide,·,,Indian,
Indian Tech & Infra,Indian Tech & Infra,,@IndianTechGuide,·,,Indian,
Indian Tech & Infra,Indian Tech & Infra,,@IndianTechGuide,·,,Indian,
Indian Tech & Infra,Indian Tech & Infra,,@IndianTechGuide,·,,Indian,
Indian Tech & Infra,Indian Tech & Infra,,@IndianTechGuide,·,,Indian,
Indian Tech & Infra,Indian Tech & Infra,,@IndianTechGuide,·,,Indian,
Ananth Rupanagudi,Ananth Rupanagudi,,@Ananth_IRAS,·,The wishes of the Bengaluru techies has been fulfilled - the new Mysuru Vande Bharat to Chennai shall stop at Krishnarajapuram. It will take only 3 hours 45 minutes from Chennai to K.R.Puram.,#IndianRailways,
Ananth Rupanagudi,Ananth Rupanagudi,,@Ananth_IRAS,·,The wishes of the Bengaluru techies has been fulfilled - the new Mysuru Vande Bharat to Chennai shall stop at Krishnarajapuram. It will take only 3 hours 45 minutes from Chennai to K.R.Puram.,#IndianRailways,
Ananth Rupanagudi,Ananth Rupanagudi,,@Ananth_IRAS,·,The wishes of the Bengaluru techies has been fulfilled - the new Mysuru Vande Bharat to Chennai shall stop at Krishnarajapuram. It will take only 3 hours 45 minutes from Chennai to K.R.Puram.,#IndianRailways,
Sameer,Sameer,,@BesuraTaansane,·,The recent videos of,Indian,
Sameer,Sameer,,@BesuraTaansane,·,The recent videos of,Indian,
Sameer,Sameer,,@BesuraTaansane,·,The recent videos of,Indian,
CA Devang Maheshwari,CA Devang Maheshwari,,@equialpha,·,13 Major sector and beneficiaries of BJP Manifesto,"1) Affordable housing (AH) -
-HUDCO
-Tata Steel, JSW Steel
-Ultratech
-Ambuja
-Housing finance NBFC's

2) Tourism
-",
CA Devang Maheshwari,CA Devang Maheshwari,,@equialpha,·,13 Major sector and beneficiaries of BJP Manifesto,"1) Affordable housing (AH) -
-HUDCO
-Tata Steel, JSW Steel
-Ultratech
-Ambuja
-Housing finance NBFC's

2) Tourism
-",
CA Devang Maheshwari,CA Devang Maheshwari,,@equialpha,·,13 Major sector and beneficiaries of BJP Manifesto,"1) Affordable housing (AH) -
-HUDCO
-Tata Steel, JSW Steel
-Ultratech
-Ambuja
-Housing finance NBFC's

2) Tourism
-",
Indian Tech & Infra,Indian Tech & Infra,,@IndianTechGuide,·,,Indian,
Indian Tech & Infra,Indian Tech & Infra,,@IndianTechGuide,·,,Indian,
Indian Tech & Infra,Indian Tech & Infra,,@IndianTechGuide,·,,Indian,
Mehul Fanawala,Mehul Fanawala,,@MehulFanawala,·,I had no idea,Indian,
Mehul Fanawala,Mehul Fanawala,,@MehulFanawala,·,I had no idea,Indian,
Mehul Fanawala,Mehul Fanawala,,@MehulFanawala,·,I had no idea,Indian,
Silly Point,Silly Point,,@FarziCricketer,·,Indian,,railway
Silly Point,Silly Point,,@FarziCricketer,·,Indian,,railway
Silly Point,Silly Point,,@FarziCricketer,·,Indian,,railway
Doolally,Doolally,,@godoolally,·,"6. Literally meaning, ""Mirror of the Sky"" in Urdu, it was built in the shape of a scorpion with 2 stings spread out as wings. Which architectural marvel is this, that is also given recognition by the South Central",Railways,of the
Mizu_Ren,Mizu_Ren,,@Mira_Ishhu,·,Though,#IndianRailways,
SUHEL SETH,SUHEL SETH,,@Suhelseth,·,I love train journeys. I love platform food; I love the odour and I admire the staff of the,Railways,. Rajdhani and Shatabdi are outstanding: the food on
Ananth Rupanagudi,Ananth Rupanagudi,,@Ananth_IRAS,·,"Had to school a parent to instruct his kid not to climb on a berth wearing his shoes. More often, the quality of upbringing gets reflected during the train journeys.",#IndianRailways,28
Indian Tech & Infra,Indian Tech & Infra,,@IndianTechGuide,·,,Indian,
Indian Tech & Infra,Indian Tech & Infra,,@IndianTechGuide,·,Mumbai-Ahmedabad Bullet train project completion date depends on award of all tenders. (,Indian,
News Arena India,News Arena India,,@NewsArenaIndia,·,Indian,,Railways
Ananth Rupanagudi,Ananth Rupanagudi,,@Ananth_IRAS,·,There are many shortcomings in the service of,#IndianRailways,
ANI,ANI,,@ANI,·,19 trains to and from Delhi are running late due to operational reasons and fog conditions in some parts of north India:,Indian,
Doolally,Doolally,,@godoolally,·,"6. Literally meaning, ""Mirror of the Sky"" in Urdu, it was built in the shape of a scorpion with 2 stings spread out as wings. Which architectural marvel is this, that is also given recognition by the South Central",Railways,of the
Mizu_Ren,Mizu_Ren,,@Mira_Ishhu,·,Though,#IndianRailways,
SUHEL SETH,SUHEL SETH,,@Suhelseth,·,I love train journeys. I love platform food; I love the odour and I admire the staff of the,Railways,. Rajdhani and Shatabdi are outstanding: the food on
Ananth Rupanagudi,Ananth Rupanagudi,,@Ananth_IRAS,·,"Had to school a parent to instruct his kid not to climb on a berth wearing his shoes. More often, the quality of upbringing gets reflected during the train journeys.",#IndianRailways,28
Indian Tech & Infra,Indian Tech & Infra,,@IndianTechGuide,·,,Indian,
Indian Tech & Infra,Indian Tech & Infra,,@IndianTechGuide,·,Mumbai-Ahmedabad Bullet train project completion date depends on award of all tenders. (,Indian,
News Arena India,News Arena India,,@NewsArenaIndia,·,Indian,,Railways
Ananth Rupanagudi,Ananth Rupanagudi,,@Ananth_IRAS,·,There are many shortcomings in the service of,#IndianRailways,
ANI,ANI,,@ANI,·,19 trains to and from Delhi are running late due to operational reasons and fog conditions in some parts of north India:,Indian,
Doolally,Doolally,,@godoolally,·,"6. Literally meaning, ""Mirror of the Sky"" in Urdu, it was built in the shape of a scorpion with 2 stings spread out as wings. Which architectural marvel is this, that is also given recognition by the South Central",Railways,of the
Mizu_Ren,Mizu_Ren,,@Mira_Ishhu,·,Though,#IndianRailways,
SUHEL SETH,SUHEL SETH,,@Suhelseth,·,I love train journeys. I love platform food; I love the odour and I admire the staff of the,Railways,. Rajdhani and Shatabdi are outstanding: the food on
Ananth Rupanagudi,Ananth Rupanagudi,,@Ananth_IRAS,·,"Had to school a parent to instruct his kid not to climb on a berth wearing his shoes. More often, the quality of upbringing gets reflected during the train journeys.",#IndianRailways,28
Indian Tech & Infra,Indian Tech & Infra,,@IndianTechGuide,·,,Indian,
Indian Tech & Infra,Indian Tech & Infra,,@IndianTechGuide,·,Mumbai-Ahmedabad Bullet train project completion date depends on award of all tenders. (,Indian,
News Arena India,News Arena India,,@NewsArenaIndia,·,Indian,,Railways
Ananth Rupanagudi,Ananth Rupanagudi,,@Ananth_IRAS,·,There are many shortcomings in the service of,#IndianRailways,
ANI,ANI,,@ANI,·,19 trains to and from Delhi are running late due to operational reasons and fog conditions in some parts of north India:,Indian,
Doolally,Doolally,,@godoolally,·,"6. Literally meaning, ""Mirror of the Sky"" in Urdu, it was built in the shape of a scorpion with 2 stings spread out as wings. Which architectural marvel is this, that is also given recognition by the South Central",Railways,of the
Mizu_Ren,Mizu_Ren,,@Mira_Ishhu,·,Though,#IndianRailways,
SUHEL SETH,SUHEL SETH,,@Suhelseth,·,I love train journeys. I love platform food; I love the odour and I admire the staff of the,Railways,. Rajdhani and Shatabdi are outstanding: the food on
Ananth Rupanagudi,Ananth Rupanagudi,,@Ananth_IRAS,·,"Had to school a parent to instruct his kid not to climb on a berth wearing his shoes. More often, the quality of upbringing gets reflected during the train journeys.",#IndianRailways,28
Indian Tech & Infra,Indian Tech & Infra,,@IndianTechGuide,·,,Indian,
Indian Tech & Infra,Indian Tech & Infra,,@IndianTechGuide,·,Mumbai-Ahmedabad Bullet train project completion date depends on award of all tenders. (,Indian,
News Arena India,News Arena India,,@NewsArenaIndia,·,Indian,,Railways
Ananth Rupanagudi,Ananth Rupanagudi,,@Ananth_IRAS,·,There are many shortcomings in the service of,#IndianRailways,
ANI,ANI,,@ANI,·,19 trains to and from Delhi are running late due to operational reasons and fog conditions in some parts of north India:,Indian,
Doolally,Doolally,,@godoolally,·,"6. Literally meaning, ""Mirror of the Sky"" in Urdu, it was built in the shape of a scorpion with 2 stings spread out as wings. Which architectural marvel is this, that is also given recognition by the South Central",Railways,of the
Mizu_Ren,Mizu_Ren,,@Mira_Ishhu,·,Though,#IndianRailways,
SUHEL SETH,SUHEL SETH,,@Suhelseth,·,I love train journeys. I love platform food; I love the odour and I admire the staff of the,Railways,. Rajdhani and Shatabdi are outstanding: the food on
Ananth Rupanagudi,Ananth Rupanagudi,,@Ananth_IRAS,·,"Had to school a parent to instruct his kid not to climb on a berth wearing his shoes. More often, the quality of upbringing gets reflected during the train journeys.",#IndianRailways,28
Indian Tech & Infra,Indian Tech & Infra,,@IndianTechGuide,·,,Indian,
Indian Tech & Infra,Indian Tech & Infra,,@IndianTechGuide,·,Mumbai-Ahmedabad Bullet train project completion date depends on award of all tenders. (,Indian,
News Arena India,News Arena India,,@NewsArenaIndia,·,Indian,,Railways
Ananth Rupanagudi,Ananth Rupanagudi,,@Ananth_IRAS,·,There are many shortcomings in the service of,#IndianRailways,
ANI,ANI,,@ANI,·,19 trains to and from Delhi are running late due to operational reasons and fog conditions in some parts of north India:,Indian,
Doolally,Doolally,,@godoolally,·,"6. Literally meaning, ""Mirror of the Sky"" in Urdu, it was built in the shape of a scorpion with 2 stings spread out as wings. Which architectural marvel is this, that is also given recognition by the South Central",Railways,of the
Mizu_Ren,Mizu_Ren,,@Mira_Ishhu,·,Though,#IndianRailways,
SUHEL SETH,SUHEL SETH,,@Suhelseth,·,I love train journeys. I love platform food; I love the odour and I admire the staff of the,Railways,. Rajdhani and Shatabdi are outstanding: the food on
Ananth Rupanagudi,Ananth Rupanagudi,,@Ananth_IRAS,·,"Had to school a parent to instruct his kid not to climb on a berth wearing his shoes. More often, the quality of upbringing gets reflected during the train journeys.",#IndianRailways,28
Indian Tech & Infra,Indian Tech & Infra,,@IndianTechGuide,·,,Indian,
Indian Tech & Infra,Indian Tech & Infra,,@IndianTechGuide,·,Mumbai-Ahmedabad Bullet train project completion date depends on award of all tenders. (,Indian,
News Arena India,News Arena India,,@NewsArenaIndia,·,Indian,,Railways
Ananth Rupanagudi,Ananth Rupanagudi,,@Ananth_IRAS,·,There are many shortcomings in the service of,#IndianRailways,
ANI,ANI,,@ANI,·,19 trains to and from Delhi are running late due to operational reasons and fog conditions in some parts of north India:,Indian,
Doolally,Doolally,,@godoolally,·,"6. Literally meaning, ""Mirror of the Sky"" in Urdu, it was built in the shape of a scorpion with 2 stings spread out as wings. Which architectural marvel is this, that is also given recognition by the South Central",Railways,of the
Mizu_Ren,Mizu_Ren,,@Mira_Ishhu,·,Though,#IndianRailways,
SUHEL SETH,SUHEL SETH,,@Suhelseth,·,I love train journeys. I love platform food; I love the odour and I admire the staff of the,Railways,. Rajdhani and Shatabdi are outstanding: the food on
Ananth Rupanagudi,Ananth Rupanagudi,,@Ananth_IRAS,·,"Had to school a parent to instruct his kid not to climb on a berth wearing his shoes. More often, the quality of upbringing gets reflected during the train journeys.",#IndianRailways,28
Indian Tech & Infra,Indian Tech & Infra,,@IndianTechGuide,·,,Indian,
Indian Tech & Infra,Indian Tech & Infra,,@IndianTechGuide,·,Mumbai-Ahmedabad Bullet train project completion date depends on award of all tenders. (,Indian,
News Arena India,News Arena India,,@NewsArenaIndia,·,Indian,,Railways
Ananth Rupanagudi,Ananth Rupanagudi,,@Ananth_IRAS,·,There are many shortcomings in the service of,#IndianRailways,
ANI,ANI,,@ANI,·,19 trains to and from Delhi are running late due to operational reasons and fog conditions in some parts of north India:,Indian,
Doolally,Doolally,,@godoolally,·,"6. Literally meaning, ""Mirror of the Sky"" in Urdu, it was built in the shape of a scorpion with 2 stings spread out as wings. Which architectural marvel is this, that is also given recognition by the South Central",Railways,of the
Mizu_Ren,Mizu_Ren,,@Mira_Ishhu,·,Though,#IndianRailways,
SUHEL SETH,SUHEL SETH,,@Suhelseth,·,I love train journeys. I love platform food; I love the odour and I admire the staff of the,Railways,. Rajdhani and Shatabdi are outstanding: the food on
Ananth Rupanagudi,Ananth Rupanagudi,,@Ananth_IRAS,·,"Had to school a parent to instruct his kid not to climb on a berth wearing his shoes. More often, the quality of upbringing gets reflected during the train journeys.",#IndianRailways,28
Indian Tech & Infra,Indian Tech & Infra,,@IndianTechGuide,·,,Indian,
Indian Tech & Infra,Indian Tech & Infra,,@IndianTechGuide,·,Mumbai-Ahmedabad Bullet train project completion date depends on award of all tenders. (,Indian,
News Arena India,News Arena India,,@NewsArenaIndia,·,Indian,,Railways
Ananth Rupanagudi,Ananth Rupanagudi,,@Ananth_IRAS,·,There are many shortcomings in the service of,#IndianRailways,
ANI,ANI,,@ANI,·,19 trains to and from Delhi are running late due to operational reasons and fog conditions in some parts of north India:,Indian,
Doolally,Doolally,,@godoolally,·,"6. Literally meaning, ""Mirror of the Sky"" in Urdu, it was built in the shape of a scorpion with 2 stings spread out as wings. Which architectural marvel is this, that is also given recognition by the South Central",Railways,of the
Mizu_Ren,Mizu_Ren,,@Mira_Ishhu,·,Though,#IndianRailways,
SUHEL SETH,SUHEL SETH,,@Suhelseth,·,I love train journeys. I love platform food; I love the odour and I admire the staff of the,Railways,. Rajdhani and Shatabdi are outstanding: the food on
Ananth Rupanagudi,Ananth Rupanagudi,,@Ananth_IRAS,·,"Had to school a parent to instruct his kid not to climb on a berth wearing his shoes. More often, the quality of upbringing gets reflected during the train journeys.",#IndianRailways,28
Indian Tech & Infra,Indian Tech & Infra,,@IndianTechGuide,·,,Indian,
Indian Tech & Infra,Indian Tech & Infra,,@IndianTechGuide,·,Mumbai-Ahmedabad Bullet train project completion date depends on award of all tenders. (,Indian,
News Arena India,News Arena India,,@NewsArenaIndia,·,Indian,,Railways
Ananth Rupanagudi,Ananth Rupanagudi,,@Ananth_IRAS,·,There are many shortcomings in the service of,#IndianRailways,
ANI,ANI,,@ANI,·,19 trains to and from Delhi are running late due to operational reasons and fog conditions in some parts of north India:,Indian,
Doolally,Doolally,,@godoolally,·,"6. Literally meaning, ""Mirror of the Sky"" in Urdu, it was built in the shape of a scorpion with 2 stings spread out as wings. Which architectural marvel is this, that is also given recognition by the South Central",Railways,of the
Mizu_Ren,Mizu_Ren,,@Mira_Ishhu,·,Though,#IndianRailways,
SUHEL SETH,SUHEL SETH,,@Suhelseth,·,I love train journeys. I love platform food; I love the odour and I admire the staff of the,Railways,. Rajdhani and Shatabdi are outstanding: the food on
Ananth Rupanagudi,Ananth Rupanagudi,,@Ananth_IRAS,·,"Had to school a parent to instruct his kid not to climb on a berth wearing his shoes. More often, the quality of upbringing gets reflected during the train journeys.",#IndianRailways,28
Indian Tech & Infra,Indian Tech & Infra,,@IndianTechGuide,·,,Indian,
Indian Tech & Infra,Indian Tech & Infra,,@IndianTechGuide,·,Mumbai-Ahmedabad Bullet train project completion date depends on award of all tenders. (,Indian,
News Arena India,News Arena India,,@NewsArenaIndia,·,Indian,,Railways
Ananth Rupanagudi,Ananth Rupanagudi,,@Ananth_IRAS,·,There are many shortcomings in the service of,#IndianRailways,
ANI,ANI,,@ANI,·,19 trains to and from Delhi are running late due to operational reasons and fog conditions in some parts of north India:,Indian,
Doolally,Doolally,,@godoolally,·,"6. Literally meaning, ""Mirror of the Sky"" in Urdu, it was built in the shape of a scorpion with 2 stings spread out as wings. Which architectural marvel is this, that is also given recognition by the South Central",Railways,of the
Mizu_Ren,Mizu_Ren,,@Mira_Ishhu,·,Though,#IndianRailways,
SUHEL SETH,SUHEL SETH,,@Suhelseth,·,I love train journeys. I love platform food; I love the odour and I admire the staff of the,Railways,. Rajdhani and Shatabdi are outstanding: the food on
Ananth Rupanagudi,Ananth Rupanagudi,,@Ananth_IRAS,·,"Had to school a parent to instruct his kid not to climb on a berth wearing his shoes. More often, the quality of upbringing gets reflected during the train journeys.",#IndianRailways,28
Indian Tech & Infra,Indian Tech & Infra,,@IndianTechGuide,·,,Indian,
Indian Tech & Infra,Indian Tech & Infra,,@IndianTechGuide,·,Mumbai-Ahmedabad Bullet train project completion date depends on award of all tenders. (,Indian,
News Arena India,News Arena India,,@NewsArenaIndia,·,Indian,,Railways
Ananth Rupanagudi,Ananth Rupanagudi,,@Ananth_IRAS,·,There are many shortcomings in the service of,#IndianRailways,
ANI,ANI,,@ANI,·,19 trains to and from Delhi are running late due to operational reasons and fog conditions in some parts of north India:,Indian,
Doolally,Doolally,,@godoolally,·,"6. Literally meaning, ""Mirror of the Sky"" in Urdu, it was built in the shape of a scorpion with 2 stings spread out as wings. Which architectural marvel is this, that is also given recognition by the South Central",Railways,of the
Mizu_Ren,Mizu_Ren,,@Mira_Ishhu,·,Though,#IndianRailways,
SUHEL SETH,SUHEL SETH,,@Suhelseth,·,I love train journeys. I love platform food; I love the odour and I admire the staff of the,Railways,. Rajdhani and Shatabdi are outstanding: the food on
Ananth Rupanagudi,Ananth Rupanagudi,,@Ananth_IRAS,·,"Had to school a parent to instruct his kid not to climb on a berth wearing his shoes. More often, the quality of upbringing gets reflected during the train journeys.",#IndianRailways,28
Indian Tech & Infra,Indian Tech & Infra,,@IndianTechGuide,·,,Indian,
Indian Tech & Infra,Indian Tech & Infra,,@IndianTechGuide,·,Mumbai-Ahmedabad Bullet train project completion date depends on award of all tenders. (,Indian,
News Arena India,News Arena India,,@NewsArenaIndia,·,Indian,,Railways
Ananth Rupanagudi,Ananth Rupanagudi,,@Ananth_IRAS,·,There are many shortcomings in the service of,#IndianRailways,
ANI,ANI,,@ANI,·,19 trains to and from Delhi are running late due to operational reasons and fog conditions in some parts of north India:,Indian,
Mizu_Ren,Mizu_Ren,,@Mira_Ishhu,·,Though,#IndianRailways,
Mizu_Ren,Mizu_Ren,,@Mira_Ishhu,·,Though,#IndianRailways,
Mizu_Ren,Mizu_Ren,,@Mira_Ishhu,·,Though,#IndianRailways,
SUHEL SETH,SUHEL SETH,,@Suhelseth,·,I love train journeys. I love platform food; I love the odour and I admire the staff of the,Railways,. Rajdhani and Shatabdi are outstanding: the food on
SUHEL SETH,SUHEL SETH,,@Suhelseth,·,I love train journeys. I love platform food; I love the odour and I admire the staff of the,Railways,. Rajdhani and Shatabdi are outstanding: the food on
