index,text,date,year
252,"Railway track electrification :

2006-14        4,698 Km
2014-23        37,446 Km

9 times more tracks got electrified in the last 9 years Indian  Railways uses 90% less diesel than it used in 2014.","Jul 12, 2023",2023
253,"Unreliable sources tell me that those who travel by Vande Bharat Express, an umbrella will be provided free of charge by the India Railways .","Jun 3, 2023",2023
254,"Off late, You have seen Leftists Toolkits targeting Railways quite often

Criticising Sleeper Class Coaches, Mocking Vade Bharat Trains, Recent Accident & Railway Minister

Reasons

Modi has changed the way Indian  Railways worked ever

1. New Swanky Airport like Railway Stations","Jul 8, 2023",2023
255,"Premium routes on Indian  Railways  Rajdhani Express - Started 50 years ago but runs on only 16 routes Shatabdi Express - Started 35 years ago but runs on only 19 routes Vande Bharat Express - 25 routes in just 4 years

The day is not far when Vande Bharat will connect","Aug 2, 2023",2023
256,"Railway track electrification :

2006-14        4,698 Km
2014-23        37,446 Km

9 times more tracks got electrified in the last 9 years Indian  Railways uses 90% less diesel than it used in 2014.","Jul 12, 2023",2023
257," Indian  Railways is Expected to Launch 4 More Vande Bharat Express Trains this Month

• Chennai - Tirunelveli (622 KM)
• Delhi - Chandigarh (243 KM)
• Gwalior - Bhopal (432 KM)
• Lucknow - Prayagraj (200 KM)","Jun 3, 2023",2023
258,"Railway Minister Sri Ashwini Vaishnav is one of the most competent Minister India has ever had & will definitely resolve all issues in Indian  Railways .

I support his continuation in the ministry, request to analyse root cause & bring the best of railways .","Jul 14, 2023",2023
259,"To pretend that have modernised the Indian  Railways , we imitate the Western systems but don’t have the workmanship, commitment to quality and ability to maintain those systems in good working order.
The electrically operated  window blinds of Tajas I am travelling in, don’t work.","Jun 16, 2023",2023
260,"Unreliable sources tell me that those who travel by Vande Bharat Express, an umbrella will be provided free of charge by the India Railways .","Jun 3, 2023",2023
261,"Such a tragedy #CoromandalExpress One of the biggest and worst accident in Indian  railways history 
I would never travel in a train or allow anyone in my family to take a train after such an incident 
Who is responsible for it ?
Never ever I have seen anyone being held","Jun 30, 2023",2023
262,"Off late, You have seen Leftists Toolkits targeting Railways quite often

Criticising Sleeper Class Coaches, Mocking Vade Bharat Trains, Recent Accident & Railway Minister

Reasons

Modi has changed the way Indian  Railways worked ever

1. New Swanky Airport like Railway Stations","Jul 8, 2023",2023
263,"Premium routes on Indian  Railways  Rajdhani Express - Started 50 years ago but runs on only 16 routes Shatabdi Express - Started 35 years ago but runs on only 19 routes Vande Bharat Express - 25 routes in just 4 years

The day is not far when Vande Bharat will connect","Aug 2, 2023",2023
264,"Railway track electrification :

2006-14        4,698 Km
2014-23        37,446 Km

9 times more tracks got electrified in the last 9 years Indian  Railways uses 90% less diesel than it used in 2014.","Jul 12, 2023",2023
265," Indian  Railways is Expected to Launch 4 More Vande Bharat Express Trains this Month

• Chennai - Tirunelveli (622 KM)
• Delhi - Chandigarh (243 KM)
• Gwalior - Bhopal (432 KM)
• Lucknow - Prayagraj (200 KM)","Jun 3, 2023",2023
266,"Railway Minister Sri Ashwini Vaishnav is one of the most competent Minister India has ever had & will definitely resolve all issues in Indian  Railways .

I support his continuation in the ministry, request to analyse root cause & bring the best of railways .","Jul 14, 2023",2023
267,"To pretend that have modernised the Indian  Railways , we imitate the Western systems but don’t have the workmanship, commitment to quality and ability to maintain those systems in good working order.
The electrically operated  window blinds of Tajas I am travelling in, don’t work.","Jun 16, 2023",2023
268,"Unreliable sources tell me that those who travel by Vande Bharat Express, an umbrella will be provided free of charge by the India Railways .","Jun 3, 2023",2023
269,"Such a tragedy #CoromandalExpress One of the biggest and worst accident in Indian  railways history 
I would never travel in a train or allow anyone in my family to take a train after such an incident 
Who is responsible for it ?
Never ever I have seen anyone being held","Jun 30, 2023",2023
270,"Off late, You have seen Leftists Toolkits targeting Railways quite often

Criticising Sleeper Class Coaches, Mocking Vade Bharat Trains, Recent Accident & Railway Minister

Reasons

Modi has changed the way Indian  Railways worked ever

1. New Swanky Airport like Railway Stations","Jul 8, 2023",2023
271,"Premium routes on Indian  Railways  Rajdhani Express - Started 50 years ago but runs on only 16 routes Shatabdi Express - Started 35 years ago but runs on only 19 routes Vande Bharat Express - 25 routes in just 4 years

The day is not far when Vande Bharat will connect","Aug 2, 2023",2023
272,"Railway track electrification :

2006-14        4,698 Km
2014-23        37,446 Km

9 times more tracks got electrified in the last 9 years Indian  Railways uses 90% less diesel than it used in 2014.","Jul 12, 2023",2023
273," Indian  Railways is Expected to Launch 4 More Vande Bharat Express Trains this Month

• Chennai - Tirunelveli (622 KM)
• Delhi - Chandigarh (243 KM)
• Gwalior - Bhopal (432 KM)
• Lucknow - Prayagraj (200 KM)","Jun 3, 2023",2023
274,"Railway Minister Sri Ashwini Vaishnav is one of the most competent Minister India has ever had & will definitely resolve all issues in Indian  Railways .

I support his continuation in the ministry, request to analyse root cause & bring the best of railways .","Jul 14, 2023",2023
275,"Such a tragedy #CoromandalExpress One of the biggest and worst accident in Indian  railways history 
I would never travel in a train or allow anyone in my family to take a train after such an incident 
Who is responsible for it ?
Never ever I have seen anyone being held","Jun 30, 2023",2023
276,"To pretend that have modernised the Indian  Railways , we imitate the Western systems but don’t have the workmanship, commitment to quality and ability to maintain those systems in good working order.
The electrically operated  window blinds of Tajas I am travelling in, don’t work.","Jun 16, 2023",2023
277,"Unreliable sources tell me that those who travel by Vande Bharat Express, an umbrella will be provided free of charge by the India Railways .","Jun 3, 2023",2023
278,"Railway Minister Sri Ashwini Vaishnav is one of the most competent Minister India has ever had & will definitely resolve all issues in Indian  Railways .

I support his continuation in the ministry, request to analyse root cause & bring the best of railways .","Jul 14, 2023",2023
279,"Such a tragedy #CoromandalExpress One of the biggest and worst accident in Indian  railways history 
I would never travel in a train or allow anyone in my family to take a train after such an incident 
Who is responsible for it ?
Never ever I have seen anyone being held","Jun 30, 2023",2023
280,"Off late, You have seen Leftists Toolkits targeting Railways quite often

Criticising Sleeper Class Coaches, Mocking Vade Bharat Trains, Recent Accident & Railway Minister

Reasons

Modi has changed the way Indian  Railways worked ever

1. New Swanky Airport like Railway Stations","Jul 8, 2023",2023
281,"Premium routes on Indian  Railways  Rajdhani Express - Started 50 years ago but runs on only 16 routes Shatabdi Express - Started 35 years ago but runs on only 19 routes Vande Bharat Express - 25 routes in just 4 years

The day is not far when Vande Bharat will connect","Aug 2, 2023",2023
282,"Railway track electrification :

2006-14        4,698 Km
2014-23        37,446 Km

9 times more tracks got electrified in the last 9 years Indian  Railways uses 90% less diesel than it used in 2014.","Jul 12, 2023",2023
283," Indian  Railways is Expected to Launch 4 More Vande Bharat Express Trains this Month

• Chennai - Tirunelveli (622 KM)
• Delhi - Chandigarh (243 KM)
• Gwalior - Bhopal (432 KM)
• Lucknow - Prayagraj (200 KM)","Jun 3, 2023",2023
284,"Railway Minister Sri Ashwini Vaishnav is one of the most competent Minister India has ever had & will definitely resolve all issues in Indian  Railways .

I support his continuation in the ministry, request to analyse root cause & bring the best of railways .","Jul 14, 2023",2023
285,"To pretend that have modernised the Indian  Railways , we imitate the Western systems but don’t have the workmanship, commitment to quality and ability to maintain those systems in good working order.
The electrically operated  window blinds of Tajas I am travelling in, don’t work.","Jun 16, 2023",2023
286,"Unreliable sources tell me that those who travel by Vande Bharat Express, an umbrella will be provided free of charge by the India Railways .","Jun 3, 2023",2023
287,"Such a tragedy #CoromandalExpress One of the biggest and worst accident in Indian  railways history 
I would never travel in a train or allow anyone in my family to take a train after such an incident 
Who is responsible for it ?
Never ever I have seen anyone being held","Jun 30, 2023",2023
288,"Off late, You have seen Leftists Toolkits targeting Railways quite often

Criticising Sleeper Class Coaches, Mocking Vade Bharat Trains, Recent Accident & Railway Minister

Reasons

Modi has changed the way Indian  Railways worked ever

1. New Swanky Airport like Railway Stations","Jul 8, 2023",2023
289,"Premium routes on Indian  Railways  Rajdhani Express - Started 50 years ago but runs on only 16 routes Shatabdi Express - Started 35 years ago but runs on only 19 routes Vande Bharat Express - 25 routes in just 4 years

The day is not far when Vande Bharat will connect","Aug 2, 2023",2023
290,"Railway track electrification :

2006-14        4,698 Km
2014-23        37,446 Km

9 times more tracks got electrified in the last 9 years Indian  Railways uses 90% less diesel than it used in 2014.","Jul 12, 2023",2023
291," Indian  Railways is Expected to Launch 4 More Vande Bharat Express Trains this Month

• Chennai - Tirunelveli (622 KM)
• Delhi - Chandigarh (243 KM)
• Gwalior - Bhopal (432 KM)
• Lucknow - Prayagraj (200 KM)","Jun 3, 2023",2023
292,"Railway Minister Sri Ashwini Vaishnav is one of the most competent Minister India has ever had & will definitely resolve all issues in Indian  Railways .

I support his continuation in the ministry, request to analyse root cause & bring the best of railways .","Jul 14, 2023",2023
293,"To pretend that have modernised the Indian  Railways , we imitate the Western systems but don’t have the workmanship, commitment to quality and ability to maintain those systems in good working order.
The electrically operated  window blinds of Tajas I am travelling in, don’t work.","Jun 16, 2023",2023
294,"Unreliable sources tell me that those who travel by Vande Bharat Express, an umbrella will be provided free of charge by the India Railways .","Jun 3, 2023",2023
295,"Such a tragedy #CoromandalExpress One of the biggest and worst accident in Indian  railways history 
I would never travel in a train or allow anyone in my family to take a train after such an incident 
Who is responsible for it ?
Never ever I have seen anyone being held","Jun 30, 2023",2023
296,"Off late, You have seen Leftists Toolkits targeting Railways quite often

Criticising Sleeper Class Coaches, Mocking Vade Bharat Trains, Recent Accident & Railway Minister

Reasons

Modi has changed the way Indian  Railways worked ever

1. New Swanky Airport like Railway Stations","Jul 8, 2023",2023
297,"Premium routes on Indian  Railways  Rajdhani Express - Started 50 years ago but runs on only 16 routes Shatabdi Express - Started 35 years ago but runs on only 19 routes Vande Bharat Express - 25 routes in just 4 years

The day is not far when Vande Bharat will connect","Aug 2, 2023",2023
298,"Railway track electrification :

2006-14        4,698 Km
2014-23        37,446 Km

9 times more tracks got electrified in the last 9 years Indian  Railways uses 90% less diesel than it used in 2014.","Jul 12, 2023",2023
299," Indian  Railways is Expected to Launch 4 More Vande Bharat Express Trains this Month

• Chennai - Tirunelveli (622 KM)
• Delhi - Chandigarh (243 KM)
• Gwalior - Bhopal (432 KM)
• Lucknow - Prayagraj (200 KM)","Jun 3, 2023",2023
300," Indian  Railways is Expected to Launch 4 More Vande Bharat Express Trains this Month

• Chennai - Tirunelveli (622 KM)
• Delhi - Chandigarh (243 KM)
• Gwalior - Bhopal (432 KM)
• Lucknow - Prayagraj (200 KM)","Jun 3, 2023",2023
301," Indian  Railways is Expected to Launch 4 More Vande Bharat Express Trains this Month

• Chennai - Tirunelveli (622 KM)
• Delhi - Chandigarh (243 KM)
• Gwalior - Bhopal (432 KM)
• Lucknow - Prayagraj (200 KM)","Jun 3, 2023",2023
302,"Premium routes on Indian  Railways  Rajdhani Express - Started 50 years ago but runs on only 16 routes Shatabdi Express - Started 35 years ago but runs on only 19 routes Vande Bharat Express - 25 routes in just 4 years

The day is not far when Vande Bharat will connect","Aug 2, 2023",2023
303,"Railway track electrification :

2006-14        4,698 Km
2014-23        37,446 Km

9 times more tracks got electrified in the last 9 years Indian  Railways uses 90% less diesel than it used in 2014.","Jul 12, 2023",2023
304,"The lost train of Tinsukia.

This is too hilarious.

Remember there was a case of a missing tank in Ahmednagar some years back. 

The Indian  Railways did one better.....they had a complete train missing for nearly 40 years. This is how it happened:

The Lost Train.

This rake was","Jul 8, 2023",2023
305,On time performance of trains Japan Railway - 99.9% Swiss Railway - 92.5% Renfe - 92% SNCF - 90% Duetsche Bahn - 87% KORail - 87% British Rail - 86% Trenitalia - 85%      ,"Aug 2, 2023",2023
306,"What ails the Indian  Railways ? Not a day passes without reading news about I & II A/C  Coaches of premium trains being occupied by squatters.
When we pay for comfort & security, the Indian  Railways is cheating the passengers.
Are you listening, Mr. Railway Minister?","Jul 12, 2023",2023
307,"Another tragedy struck the Indian  Railways after a fire ravaged three coaches of the New Delhi-Darbhanga Superfast Express near UP's Etawah.

Will @AshwiniVaishnaw care to explain why there is a shortfall of ₹15,775 crore in  @RailMinIndia  's contribution to the Rashtriya Rail","Jun 3, 2023",2023
308,"Will train accidents become a major issue in loksabha election ? I am getting a very negative response for Indian  Railways on ground @AshwiniVaishnaw In India, two things have the potential to change election results :

1) Onion Price
2) Indian  Railways","Jul 14, 2023",2023
309,"Premium routes on Indian  Railways  Rajdhani Express - Started 50 years ago but runs on only 16 routes Shatabdi Express - Started 35 years ago but runs on only 19 routes Vande Bharat Express - 25 routes in just 4 years

The day is not far when Vande Bharat will connect","Jun 16, 2023",2023
310,"Railway track electrification :

2006-14        4,698 Km
2014-23        37,446 Km

9 times more tracks got electrified in the last 9 years Indian  Railways uses 90% less diesel than it used in 2014.","Jun 3, 2023",2023
311,"Another tragedy struck the Indian  Railways after a fire ravaged three coaches of the New Delhi-Darbhanga Superfast Express near UP's Etawah.

Will @AshwiniVaishnaw care to explain why there is a shortfall of ₹15,775 crore in  @RailMinIndia  's contribution to the Rashtriya Rail","Jun 30, 2023",2023
312,"Will train accidents become a major issue in loksabha election ? I am getting a very negative response for Indian  Railways on ground @AshwiniVaishnaw In India, two things have the potential to change election results :

1) Onion Price
2) Indian  Railways","Jul 8, 2023",2023
313,"Premium routes on Indian  Railways  Rajdhani Express - Started 50 years ago but runs on only 16 routes Shatabdi Express - Started 35 years ago but runs on only 19 routes Vande Bharat Express - 25 routes in just 4 years

The day is not far when Vande Bharat will connect","Aug 2, 2023",2023
314," Indian  Railways is Expected to Launch 4 More Vande Bharat Express Trains this Month

• Chennai - Tirunelveli (622 KM)
• Delhi - Chandigarh (243 KM)
• Gwalior - Bhopal (432 KM)
• Lucknow - Prayagraj (200 KM)","Jun 3, 2023",2023
315,"Such a tragedy #CoromandalExpress One of the biggest and worst accident in Indian  railways history 
I would never travel in a train or allow anyone in my family to take a train after such an incident 
Who is responsible for it ?
Never ever I have seen anyone being held","Jun 30, 2023",2023
316,"Railway Minister Sri Ashwini Vaishnav is one of the most competent Minister India has ever had & will definitely resolve all issues in Indian  Railways .

I support his continuation in the ministry, request to analyse root cause & bring the best of railways .","Jul 14, 2023",2023
317,"To pretend that have modernised the Indian  Railways , we imitate the Western systems but don’t have the workmanship, commitment to quality and ability to maintain those systems in good working order.
The electrically operated  window blinds of Tajas I am travelling in, don’t work.","Jun 16, 2023",2023
318,"Unreliable sources tell me that those who travel by Vande Bharat Express, an umbrella will be provided free of charge by the India Railways .","Jun 3, 2023",2023
319,"Such a tragedy #CoromandalExpress One of the biggest and worst accident in Indian  railways history 
I would never travel in a train or allow anyone in my family to take a train after such an incident 
Who is responsible for it ?
Never ever I have seen anyone being held","Jun 30, 2023",2023
320,"Off late, You have seen Leftists Toolkits targeting Railways quite often

Criticising Sleeper Class Coaches, Mocking Vade Bharat Trains, Recent Accident & Railway Minister

Reasons

Modi has changed the way Indian  Railways worked ever

1. New Swanky Airport like Railway Stations","Jul 8, 2023",2023
321,"Premium routes on Indian  Railways  Rajdhani Express - Started 50 years ago but runs on only 16 routes Shatabdi Express - Started 35 years ago but runs on only 19 routes Vande Bharat Express - 25 routes in just 4 years

The day is not far when Vande Bharat will connect","Aug 2, 2023",2023
322,"Railway track electrification :

2006-14        4,698 Km
2014-23        37,446 Km

9 times more tracks got electrified in the last 9 years Indian  Railways uses 90% less diesel than it used in 2014.","Jul 12, 2023",2023
323," Indian  Railways is Expected to Launch 4 More Vande Bharat Express Trains this Month

• Chennai - Tirunelveli (622 KM)
• Delhi - Chandigarh (243 KM)
• Gwalior - Bhopal (432 KM)
• Lucknow - Prayagraj (200 KM)","Jun 3, 2023",2023
324,"Railway Minister Sri Ashwini Vaishnav is one of the most competent Minister India has ever had & will definitely resolve all issues in Indian  Railways .

I support his continuation in the ministry, request to analyse root cause & bring the best of railways .","Jul 14, 2023",2023
325,"To pretend that have modernised the Indian  Railways , we imitate the Western systems but don’t have the workmanship, commitment to quality and ability to maintain those systems in good working order.
The electrically operated  window blinds of Tajas I am travelling in, don’t work.","Jun 16, 2023",2023
326,"Indian Economy : April 2023

Highest GST at ₹1,87 Lakh Cr
Highest Railways freight loading
Highest Auto sales
Highest Monthly Home Sales
Highest Monthly UPI transaction
Highest Power Consumption
Lowest Bank NPA

Yet Rahul Gandhi says that the  ","Nov 3, 2023",2023
327,"The lost train of Tinsukia.

This is too hilarious.

Remember there was a case of a missing tank in Ahmednagar some years back. 

The Indian  Railways did one better.....they had a complete train missing for nearly 40 years. This is how it happened:

The Lost Train.

This rake was","Nov 16, 2023",2023
328,"Indian Economy : April 2023

Highest GST at ₹1,87 Lakh Cr
Highest Railways freight loading
Highest Auto sales
Highest Monthly Home Sales
Highest Monthly UPI transaction
Highest Power Consumption
Lowest Bank NPA

Yet Rahul Gandhi says that the  ","Aug 2, 2023",2023
329,"Why are escalators in Metro stations/malls maintained but in Indian Railway stations?

Problem is in Railway bureaucracy. Indian  Railways still works like a British Raj. They do not realise that India has gained independence in 1947.","Jul 8, 2023",2023
330,"Off late, You have seen Leftists Toolkits targeting Railways quite often

Criticising Sleeper Class Coaches, Mocking Vade Bharat Trains, Recent Accident & Railway Minister

Reasons

Modi has changed the way Indian  Railways worked ever

1. New Swanky Airport like Railway Stations","Jul 8, 2023",2023
331,"Have a look at some of the names coined by Congress : 

- BHARAT Electronic ltd
- INDIAN  Railways - BHARAT earth movers ltd. 
- BHARAT Sanchar Nigam ltd. 
- Reserve Bank of INDIA
- BHARAT electrical ltd. 
- Steel and Iron Corporation of INDIA
- HINDUSTAN Machine Tools
- HINDUSTAN","Sep 9, 2023",2023
332,"BIG: Indian  Railways will spend 1lakh Cr to move towards ""Zero waiting list"".

7000-8000 new trains will be added to replace some old ageing trains .

Currently, India has 10754 running trains and we need only 3000 more trains to bring down waiting list to Zero","Dec 15, 2023",2023
333,"The entire Indian Railway's focus is on one train catering to the elite rich of India. The harsh reality of this train is, it still runs on the same track, at a speed 2% faster than, speeds achieved by Indian  railways in the 1980s. But ticket prices are 30 - 40% higher.","Sep 28, 2023",2023
334,"Curious about why one is never informed cabin and berth number till Reservation Chart is prepared, (normally 4 hours before the departure of the train), when one books an Indian  Railways ’ air-conditioned first class ticket, I sent an RTI request to the Railways .

And guess what?","Sep 9, 2023",2023
335,"- Indian  Railways has decided to offer affordable meals and packaged drinking water to passengers in general coaches for only ₹ 20.

This is a welcome move by the Indian  Railways .

But, seeing the condition of general coaches, where overcrowding, lack of cleanliness, and","Jul 25, 2023",2023
336,"Bardhaman to Howrah: 106 KM, Indian Railway Local Fare : 25 Rupees.

Howrah to Newtown Kolkata : 17 KM, Cab Fare : 650 Rupees.

This is the Power of PSU Like Indian  Railways established by Congress !!","Dec 15, 2023",2023
337,"Usually we blame ‘filthy’ Indians for the stinking toilets of Indian  Railways .

This is misconception.

The @narendramodi  @AshwiniVaishnaw duo has royally fucked up Indian  Railways .

Train number 22934 which left Jaipur today at 13.10 has stinking toilets at 14.00. Both the","Dec 12, 2023",2023
338,"Indian  Railways Seem to Be Gradually Reducing Number of Sleeper & 3AC Coaches

Poor & Middle Class Suffering Like Always","Sep 3, 2023",2023
339," Indian  Railways plans to provide 3,000 more trains to ensure confirmed tickets.","Nov 18, 2023",2023
340,"UK plans 100% Rail Electrification by 2050. Around 38% of British Rail routes are electrified

In 2005, 40% of Indian Railway routes were electrified. Latest data confirms 91% electrification & 100% Rail Electrification by 2024 Indian  Railways  will be carbon neutral by","Aug 14, 2023",2023
341,Amazon has signed MoU with Indian  Railways and Postal service for a dedicated freight corridor to help expedite deliveries.,"Aug 31, 2023",2023
342, Indian  Railways will invest at least ₹7 trillion over the next decade to lay a record km of new train tracks.,"Dec 25, 2023",2023
343,"Sakshi Malik withdraws from wrestlers protest, gets back to her govt job with Indian  railways . 

Looks like toolkit gang now have to do lot of explanation","Jun 5, 2023",2023
344,Indian  Railways is a very understanding entity. It's planning to run 1000 extra trains to Ayodhya for the Ram Mandir inauguration. State sponsored religious tourism? Or pre-election crowd pulling?,"Dec 16, 2023",2023
345," Indian  Railways Cancelled Over 200 Passenger Trains due to the G-20 Summit

More Than 300 Trains will be Affected Because of Diversions and Short Terminations

While India is Proud of the G-20 Presidency, These Additional Measures are Causing Big Inconvenience to the Public","May 1, 2023",2023
346," Indian  Railways to design and manufacture a new train named 'Vande Sadharan', a non-AC train with 8 unreserved & 12 sleeper class coaches.","Nov 15, 2023",2023
347," Indian  Railways has proposed a 4.2 lakh crore mega plan for multi tracking of 7 corridors.

Delhi - Howrah
Mumbai - Howrah
Delhi - Mumbai
Delhi - Guwahati 
Delhi - Chennai
Howrah - Chennai
Mumbai - Chennai","Sep 24, 2023",2023
348," Indian  Railways to pay a compensation of 60,000/- to a chennai resident for the 13 hour delay of Chennai - Alleppey express in 2018, ordered by Ernakulam District Consumer Disputes Redressal Commission.","Dec 16, 2023",2023
349," Indian  Railways has earned 1 lakh crore revenue during April-August 2023, from freight and passenger sectors.","Nov 16, 2023",2023
350, Indian  Railways is set to operate nearly 300 special trains during the festive season to cater to the demand.,"Nov 3, 2023",2023
351,"Unreliable sources tell me that those who travel by Vande Bharat Express, an umbrella will be provided free of charge by the India Railways .","Jun 3, 2023",2023
352,"Instead of free food, Indian  Railways should serve free wire earphones for Indian uncles so they can watch whatever they want on their phones alone. 

I really don’t want to listen to residual sound of Kapil Sharma show. It’s more irritating than having kids cry around you for","Dec 19, 2023",2023
353,"Off late, You have seen Leftists Toolkits targeting Railways quite often

Criticising Sleeper Class Coaches, Mocking Vade Bharat Trains, Recent Accident & Railway Minister

Reasons

Modi has changed the way Indian  Railways worked ever

1. New Swanky Airport like Railway Stations","Jul 8, 2023",2023
354,"Off late, You have seen Leftists Toolkits targeting Railways quite often

Criticising Sleeper Class Coaches, Mocking Vade Bharat Trains, Recent Accident & Railway Minister

Reasons

Modi has changed the way Indian  Railways worked ever

1. New Swanky Airport like Railway Stations","Jul 8, 2023",2023
355,"Railway track electrification :

2006-14        4,698 Km
2014-23        37,446 Km

9 times more tracks got electrified in the last 9 years Indian  Railways uses 90% less diesel than it used in 2014.","Jul 12, 2023",2023
356," Indian  Railways is Expected to Launch 4 More Vande Bharat Express Trains this Month

• Chennai - Tirunelveli (622 KM)
• Delhi - Chandigarh (243 KM)
• Gwalior - Bhopal (432 KM)
• Lucknow - Prayagraj (200 KM)","Jun 3, 2023",2023
357,"Railway Minister Sri Ashwini Vaishnav is one of the most competent Minister India has ever had & will definitely resolve all issues in Indian  Railways .

I support his continuation in the ministry, request to analyse root cause & bring the best of railways .","Jul 14, 2023",2023
358,"To pretend that have modernised the Indian  Railways , we imitate the Western systems but don’t have the workmanship, commitment to quality and ability to maintain those systems in good working order.
The electrically operated  window blinds of Tajas I am travelling in, don’t work.","Jun 16, 2023",2023
359,"Unreliable sources tell me that those who travel by Vande Bharat Express, an umbrella will be provided free of charge by the India Railways .","Jun 3, 2023",2023
360,"Such a tragedy #CoromandalExpress One of the biggest and worst accident in Indian  railways history 
I would never travel in a train or allow anyone in my family to take a train after such an incident 
Who is responsible for it ?
Never ever I have seen anyone being held","Jun 30, 2023",2023
361,"Off late, You have seen Leftists Toolkits targeting Railways quite often

Criticising Sleeper Class Coaches, Mocking Vade Bharat Trains, Recent Accident & Railway Minister

Reasons

Modi has changed the way Indian  Railways worked ever

1. New Swanky Airport like Railway Stations","Jul 8, 2023",2023
362,"Premium routes on Indian  Railways  Rajdhani Express - Started 50 years ago but runs on only 16 routes Shatabdi Express - Started 35 years ago but runs on only 19 routes Vande Bharat Express - 25 routes in just 4 years

The day is not far when Vande Bharat will connect","Aug 2, 2023",2023
363,"Railway track electrification :

2006-14        4,698 Km
2014-23        37,446 Km

9 times more tracks got electrified in the last 9 years Indian  Railways uses 90% less diesel than it used in 2014.","Jul 12, 2023",2023
364," Indian  Railways is Expected to Launch 4 More Vande Bharat Express Trains this Month

• Chennai - Tirunelveli (622 KM)
• Delhi - Chandigarh (243 KM)
• Gwalior - Bhopal (432 KM)
• Lucknow - Prayagraj (200 KM)","Jun 3, 2023",2023
365,"Railway Minister Sri Ashwini Vaishnav is one of the most competent Minister India has ever had & will definitely resolve all issues in Indian  Railways .

I support his continuation in the ministry, request to analyse root cause & bring the best of railways .","Jul 14, 2023",2023
366,"To pretend that have modernised the Indian  Railways , we imitate the Western systems but don’t have the workmanship, commitment to quality and ability to maintain those systems in good working order.
The electrically operated  window blinds of Tajas I am travelling in, don’t work.","Jun 16, 2023",2023
367,"Unreliable sources tell me that those who travel by Vande Bharat Express, an umbrella will be provided free of charge by the India Railways .","Jun 3, 2023",2023
368,"Such a tragedy #CoromandalExpress One of the biggest and worst accident in Indian  railways history 
I would never travel in a train or allow anyone in my family to take a train after such an incident 
Who is responsible for it ?
Never ever I have seen anyone being held","Jun 30, 2023",2023
369,"Off late, You have seen Leftists Toolkits targeting Railways quite often

Criticising Sleeper Class Coaches, Mocking Vade Bharat Trains, Recent Accident & Railway Minister

Reasons

Modi has changed the way Indian  Railways worked ever

1. New Swanky Airport like Railway Stations","Jul 8, 2023",2023
370,"Premium routes on Indian  Railways  Rajdhani Express - Started 50 years ago but runs on only 16 routes Shatabdi Express - Started 35 years ago but runs on only 19 routes Vande Bharat Express - 25 routes in just 4 years

The day is not far when Vande Bharat will connect","Aug 2, 2023",2023
371,"Railway track electrification :

2006-14        4,698 Km
2014-23        37,446 Km

9 times more tracks got electrified in the last 9 years Indian  Railways uses 90% less diesel than it used in 2014.","Jul 12, 2023",2023
372," Indian  Railways is Expected to Launch 4 More Vande Bharat Express Trains this Month

• Chennai - Tirunelveli (622 KM)
• Delhi - Chandigarh (243 KM)
• Gwalior - Bhopal (432 KM)
• Lucknow - Prayagraj (200 KM)","Jun 3, 2023",2023
373,"Railway Minister Sri Ashwini Vaishnav is one of the most competent Minister India has ever had & will definitely resolve all issues in Indian  Railways .

I support his continuation in the ministry, request to analyse root cause & bring the best of railways .","Jul 14, 2023",2023
374,"To pretend that have modernised the Indian  Railways , we imitate the Western systems but don’t have the workmanship, commitment to quality and ability to maintain those systems in good working order.
The electrically operated  window blinds of Tajas I am travelling in, don’t work.","Jun 16, 2023",2023
375,"Unreliable sources tell me that those who travel by Vande Bharat Express, an umbrella will be provided free of charge by the India Railways .","Jun 3, 2023",2023
376,"Premium routes on Indian  Railways  Rajdhani Express - Started 50 years ago but runs on only 16 routes Shatabdi Express - Started 35 years ago but runs on only 19 routes Vande Bharat Express - 25 routes in just 4 years

The day is not far when Vande Bharat will connect","Aug 2, 2023",2023
377,"Such a tragedy #CoromandalExpress One of the biggest and worst accident in Indian  railways history 
I would never travel in a train or allow anyone in my family to take a train after such an incident 
Who is responsible for it ?
Never ever I have seen anyone being held","Jun 30, 2023",2023
378,"Such a tragedy #CoromandalExpress One of the biggest and worst accident in Indian  railways history 
I would never travel in a train or allow anyone in my family to take a train after such an incident 
Who is responsible for it ?
Never ever I have seen anyone being held","Jun 30, 2023",2023
379," Indian  Railways is Expected to Launch 4 More Vande Bharat Express Trains this Month

• Chennai - Tirunelveli (622 KM)
• Delhi - Chandigarh (243 KM)
• Gwalior - Bhopal (432 KM)
• Lucknow - Prayagraj (200 KM)","Jun 3, 2023",2023
380,"Unreliable sources tell me that those who travel by Vande Bharat Express, an umbrella will be provided free of charge by the India Railways .","Jun 3, 2023",2023
381,"Premium routes on Indian  Railways  Rajdhani Express - Started 50 years ago but runs on only 16 routes Shatabdi Express - Started 35 years ago but runs on only 19 routes Vande Bharat Express - 25 routes in just 4 years

The day is not far when Vande Bharat will connect","Aug 2, 2023",2023
382,"Railway track electrification :

2006-14        4,698 Km
2014-23        37,446 Km

9 times more tracks got electrified in the last 9 years Indian  Railways uses 90% less diesel than it used in 2014.","Jul 12, 2023",2023
